Sex,Marital Status,Race,Native Country,Industry,Occupation,Education Enrollment,FT/PT Enrollment,Education Level Attained,Household Member Status,Weekly Earnings,Weekly Earnings Categories,PWSSWGT
Female,Married - spouse present,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Master's degree,Adult civilian household member,2500.0,2000+,5011.4729
Female,Never married,Black only,United States,Private nonprofit,Healthcare practitioner and technical occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1540.0,1500-1999,1507.371
Male,Never married,Black only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,660.0,500-749,1984.4721
Male,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,770.0,750-999,1960.5157
Male,Married - spouse present,White only,United States,Federal government,Transportation and material moving occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,920.0,750-999,1178.7182
Female,Married - spouse present,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,High school graduate,Adult civilian household member,888.0,750-999,938.7543
Female,Married - spouse present,Black only,,Federal government,Education instruction and library occupations,,,Master's degree,Adult civilian household member,1350.0,1250-1499,1607.7415
Male,Never married,White only,United States,Private for-profit,Management occupations,,,Bachelor's degree,Adult civilian household member,1100.0,1000-1249,367.9037
Female,Married - spouse present,White only,,State government,Healthcare support occupations,,,High school graduate,Adult civilian household member,2300.0,2000+,4473.8194
Male,Married - spouse present,White only,,State government,Construction and extraction occupations,,,High school graduate,Adult civilian household member,1154.0,1000-1249,5194.2423
Female,Never married,White only,,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,620.0,500-749,4919.6628
Male,Never married,White only,,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,800.0,750-999,5430.0327
Female,Never married,White only,United States,State government,Community and social service occupations,Enrolled,Part time,Master's degree,Adult civilian household member,1038.0,1000-1249,869.5644
Male,Never married,Hawaiian/Pacific Islander only,United States,State government,Construction and extraction occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,750.0,750-999,1360.5676
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Master's degree,Adult civilian household member,3840.0,2000+,3524.2448
Male,Married - spouse present,White only,United States,State government,Sales and related occupations,,,Master's degree,Adult civilian household member,3460.0,2000+,1609.0273
Male,Married - spouse present,White only,United States,State government,Business and financial operations occupations,,,Bachelor's degree,Adult civilian household member,1620.0,1500-1999,606.9811
Female,Never married,White only,United States,State government,"Farming, fishing, and forestry occupations",Not enrolled,,High school graduate,Adult civilian household member,640.0,500-749,785.0569
Female,Never married,White only,United States,Local government,Education instruction and library occupations,Not enrolled,,High school graduate,Adult civilian household member,800.0,750-999,664.0889
Male,Married - spouse present,White only,,State government,Transportation and material moving occupations,,,High school graduate,Adult civilian household member,1400.0,1250-1499,4206.1542
Male,Never married,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,800.0,750-999,4855.3609
Female,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,300.0,250-499,4522.7511
Female,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,300.0,250-499,4522.7511
Female,Never married,White only,United States,Federal government,Personal care and service occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,1850.0,1500-1999,5918.2537
Male,Separated,Black only,United States,Federal government,Management occupations,,,Professional degree,Adult civilian household member,3560.0,2000+,510.2542
Male,Never married,Black only,United States,State government,Sales and related occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,70.0,<250,1141.3924
Female,Married - spouse present,White only,United States,State government,Office and administrative support occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,576.0,500-749,2017.1685
Male,Never married,White only,,State government,Transportation and material moving occupations,,,High school graduate,Adult civilian household member,800.0,750-999,5170.3068
Female,Separated,White only,,State government,Building and grounds cleaning and maintenance occupations,Not enrolled,,11th grade,Adult civilian household member,480.0,250-499,1851.4326
Female,Married - spouse present,White only,United States,State government,Architecture and engineering occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1400.0,1250-1499,2980.6576
Male,Married - spouse present,White only,United States,State government,Architecture and engineering occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2360.0,2000+,2792.7585
